Floor Area (ft^2) ,ENERGY_STAR_Score,SiteEUI,Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Total GHG Emissions (MtCO2e)
"12,760",97,15.9,49.8,17.3,54.4,16.5
"43,557",,69.2,158.6,69.2,158.6,224.7
"159,383",,39.5,124.1,39.5,124.1,513.7
"29,489",,59.6,89.3,66.6,96.7,104
"24,800",31,63.1,181.9,65,184,122.1
"56,954",79,40,81.4,40,81.4,151.5
"119,679",84,59.6,149.9,61.6,152,505.3
"446,031",73,169.2,344.3,175.8,351.3,5019.6
"21,226",,28,71.9,29.3,73.3,43.9
"57,634",62,52.3,88.6,52.8,90.2,186.6
"128,335",8,46.1,105.8,48.9,108.8,414.5
"17,500",,93.9,185.8,101.6,193.9,108
"22,830",,24.3,70.1,24.3,70.1,43.4
"375,257",75,56.7,142.1,60.1,145.6,1108.1
"30,900",,39.8,83.3,46.1,94.7,82.8
"67,921",84,73,149.2,72.2,146.6,357.7
"348,000",32,106.3,196.9,108.2,196.8,2367.9
"48,926",,65.9,161.2,66,159.6,232.6
"11,600",,51.8,98.3,59.4,106.2,38.8
"138,400",,35.7,112,35.7,112,402.5
"58,393",73,33.9,95.9,35.6,97.8,152.9
"13,608",,35.5,102,36.1,102.6,37.6
"67,460",11,95.2,180.7,95.2,180.7,415.2
"18,985",,17.4,50.5,18.3,51.4,25.9
"38,508",46,78,145.5,87.1,155.1,192.8
"47,054",85,48,111.7,51.7,116.2,169.7
"55,785",88,48.9,111.7,51.3,114.6,202.9
"187,852",100,23.8,65.5,24.6,66.5,320.8
"331,034",87,66.2,154.2,68.6,156.7,1475
"746,880",93,47,117.3,48,118.5,2685
"434,979",91,42.4,109.5,44,111.5,1422.5
"439,099",95,70.2,191,71.2,190.5,2112.5
"29,328",74,65,124.4,73.3,133.2,123.6
"11,734",90,31.3,89.5,31.6,89.8,28.5
"65,000",67,76.2,161.8,79.8,165.6,335.4
"106,052",94,56.4,108.8,60.5,113.1,389
"760,565",97,40.5,125.7,40,124.1,2502.8
"10,713",,54.3,155.5,55.2,156.4,45.3
"286,357",91,53.1,128.6,56.5,132.1,1091.9
"75,880",78,39.3,114.6,39.3,114.6,236.9
"127,673",90,47.9,105.3,50,107.5,360.9
"39,933",,76.7,152.8,76.7,152.8,202
"43,659",98,21.3,57.9,21.8,57.4,70.5
"25,166",,17.5,55,17.5,55,35.9
"10,650",,63,178.4,63,178.4,51.9
"80,732",97,36.9,86.3,40.6,90.2,210.4
"38,294",,76.4,239.7,76.4,239.7,238.4
"72,234",15,85.8,254.1,85.8,254.1,490.3
"94,000",19,150,297.3,150,297.3,1007
"10,120",,14.2,44.6,14.2,44.6,11.7
"19,774",2,139.6,404,141.8,406.4,215.8
"123,489",66,58.6,151.2,58.6,151.2,558.4
"254,875",67,82.7,177.1,83.9,177,1405.3
"602,630",80,59.6,136.5,61.6,138.5,2514.4
"34,173",,46.8,146.9,46.8,146.9,130.3
"46,800",63,79.2,154.2,83.2,158.3,242.1
"162,214",30,100.5,163.1,105,167.7,993
"10,851",,78.5,141.4,83.3,146.9,55.5
"33,000",90,22.5,58.7,23.8,60.1,55.1
"17,595",84,21.4,62.6,22.3,63.6,29.6
"19,786",,14.5,39.4,14.9,39.8,21.8
"113,000",48,85.4,191.4,92.8,199.2,669
"168,000",55,65,144.4,65.9,145.4,753.7
"259,424",,92.5,213,95,215.7,1683.4
"118,969",,69.1,119.2,75.5,126,511.9
"26,322",,17.4,50,17.4,50,35.6
"420,000",63,70.2,155.5,70.7,154.9,2033
"19,945",76,51.1,129.7,55.8,134.6,74.7
"13,104",85,87.4,147.2,87.4,147.2,70.7
"19,570",90,124.4,173.8,129.6,178.1,140.8
"16,395",,189.7,313.9,193.3,317.8,190.8
"10,000",,24.5,51.8,30.1,59.1,16.6
"32,131",,8.2,19.6,8.7,20.1,17
"73,480",99,53.8,79.6,58.6,85.2,233
"99,000",75,73.6,149.7,74.2,148.5,518
"115,722",38,52.6,131.2,52.6,131.2,442.9
"1,471,800",65,65.4,120.9,65.4,120.9,6488.5
"68,132",,62.4,145.3,63.9,144.6,310.9
"37,730",,18.4,42.9,22.2,47.5,52.2
"96,776",91,36.8,114.6,37,114.8,289.2
"52,596",97,30.5,91.5,31.3,92.4,127.8
"12,400",68,45,141.3,44.6,140,45.5
"45,203",91,42.6,106.8,47.1,112.3,147.4
"18,425",81,41.7,79.7,41.7,79.7,52.8
"21,206",90,38.7,108.3,38.7,108.3,63.1
"48,934",53,66,194,66.9,195.2,258.3
"20,986",100,8.1,25.5,8.1,25.5,13.9
"13,081",23,80,175.7,84.4,180.3,71.9
"64,800",40,70.2,184.2,71.1,183.7,352.6
"44,573",99,18.6,53.4,18.6,53.4,65.9
"91,299",,46.5,135.8,,,333.4
"42,489",54,50.9,126,50.9,126,156.9
"18,812",100,22.3,42,26.8,46.7,27
"119,000",,30.5,90.7,30.7,91.2,287.6
"28,722",39,68.5,188.1,70.4,190.1,149.9
"67,390",84,41.1,129.1,40.3,126.4,226
"46,314",47,42.6,131.4,41.7,128.7,160
"75,950",18,104.9,266.5,103.6,259.3,584.7
